participant,age:1,gender:1,experience:1,years:1,number:1,fake_mris:1,comment:1,endcode,TIME_start,TIME_end,TIME_total
s.441eba0f-1f0c-4b6f-b106-cfb6e9916a43.txt,28,1,3,3,2,Fake_MRIs.2021-01-24-1309.data.441eba0f-1f0c-4b6f-b106-cfb6e9916a43.txt,"It might be useful to consider whether participants have experience with AI- or GAN-generated images, as well as experience with MRIs. ",ZfCPRLVW,2021-01-24-12-51,2021-01-24-13-10,19
s.1cd784ab-fc0d-4683-a1b8-aea7a78d74ac.txt,25,2,4,3,2,"","","",2020-11-29-08-19,"",""
s.afd0b3d1-5f60-441d-88b1-3bb8352de305.txt,22,1,4,1,4,"","","",2020-11-28-05-39,"",""
s.7dc9bac4-68c7-43cf-a0b2-07574317cdf2.txt,18,2,3,9,2,Fake_MRIs.2020-11-27-1628.data.7dc9bac4-68c7-43cf-a0b2-07574317cdf2.txt,"I did this experiment in MacBook with a high-resolution screen, I found the picture is not very big and be difficult to see the details.",dBLnBkPe,2020-11-27-16-09,2020-11-27-16-30,21
s.307c86b7-d890-426a-8040-8968f929240d.txt,38,2,3,8,2,Fake_MRIs.2020-12-15-1252.data.307c86b7-d890-426a-8040-8968f929240d.txt,The training set did not seem to have real pictures with poor quality. So it felt like quality of the picture (less noise) was a confounder.,Jv6RrGpC,2020-12-15-12-32,2020-12-15-12-53,21
s.c8e3e229-bd61-4293-abd2-df28bbc90b79.txt,18,1,3,19,3,"","","",2020-10-31-10-55,"",""
s.ab508a0b-d1d0-4115-9aea-bc6ff2728dae.txt,31,2,3,9,2,"","","",2020-11-27-16-41,"",""
s.400ffca9-d316-4d46-9726-f77e5484f0e4.txt,34,2,3,4,2,"","","",2021-01-19-11-18,"",""
s.ca7c2c3d-f39c-46c7-9d02-43000afc6f24.txt,29,1,4,3,2,Fake_MRIs.2021-01-20-1048.data.ca7c2c3d-f39c-46c7-9d02-43000afc6f24.txt,"","",2021-01-20-10-32,"",""
s.1905c40c-ff96-495f-adfe-723af338feb7.txt,43,2,3,19,2,"","","",2021-01-15-14-26,"",""
s.7f638754-175d-43af-9db4-3341b1067cb9.txt,36,1,3,11,2,Fake_MRIs.2020-11-29-0625.data.7f638754-175d-43af-9db4-3341b1067cb9.txt,"",xQRcFp4u,2020-11-29-06-11,2020-11-29-06-25,14
s.ab7f8180-7d5b-4812-8b44-44c5a3d3c4ba.txt,31,2,2,4,2,"","","",2020-10-30-21-25,"",""
s.f8a33b1f-a088-4ee0-8106-7a5107fd26a9.txt,31,2,3,9,2,Fake_MRIs.2020-11-27-1700.data.f8a33b1f-a088-4ee0-8106-7a5107fd26a9.txt,Are there a few real images that are deliberately mixed with additional artefacts or noises?,6nKNQmUJ,2020-11-27-16-38,2020-11-27-17-03,25
s.fc7c08ba-8c4d-48b0-9d18-6fcd0d6ccdb8.txt,22,1,4,1,1,"","","",2020-11-27-16-35,"",""
s.3d0d22ed-5a75-4066-bdba-abec371fb708.txt,44,2,2,15,2,Fake_MRIs.2020-10-31-1520.data.3d0d22ed-5a75-4066-bdba-abec371fb708.txt,The type of MRI sequence is not the typical sequence I usually look at in patients (T1-weighted),yaG68bDh,2020-10-31-13-54,2020-10-31-15-21,87
s.eb3da156-ac16-4179-a695-839dbb9d7963.txt,22,1,4,1,2,"","","",2020-11-29-07-38,"",""
s.3e5acde4-6ebd-48af-a360-211d64970b6d.txt,23,1,4,1,3,Fake_MRIs.2020-10-16-1851.data.3e5acde4-6ebd-48af-a360-211d64970b6d.txt,"",DQVvTrj2,2020-10-16-18-38,2020-10-16-18-51,13
s.eb4bdf39-440b-4b01-894c-0f15dc9c3a99.txt,31,1,3,8,2,"","","",2020-11-30-06-25,"",""
s.13fef1d4-d971-4fbb-b820-73cb947ccb96.txt,36,2,3,6,2,Fake_MRIs.2020-10-31-1608.data.13fef1d4-d971-4fbb-b820-73cb947ccb96.txt,"",uNN5nt2D,2020-10-31-15-52,2020-10-31-16-08,16
s.a133fd54-3079-4877-858f-088835fc13e3.txt,33,1,4,1,2,Fake_MRIs.2020-12-24-0327.data.a133fd54-3079-4877-858f-088835fc13e3.txt,"",MEHz4Wsd,2020-12-24-03-10,2020-12-24-03-27,17
s.cb5cf850-682b-496d-b981-bf9802aa0cd0.txt,62,1,4,17,1,Fake_MRIs.2020-11-29-1220.data.cb5cf850-682b-496d-b981-bf9802aa0cd0.txt,"",VgHVTnDh,2020-11-29-11-59,2020-11-29-12-20,21
s.ffa39ba4-5a6a-4427-9901-be78a6528347.txt,31,2,2,4,2,"","","",2020-10-30-20-59,"",""
s.60a37d7f-9d9d-453c-acbd-59532806aa49.txt,35,2,4,1,1,Fake_MRIs.2020-12-08-0319.data.60a37d7f-9d9d-453c-acbd-59532806aa49.txt,The images were a bit small to really differentiate some of the pictures,2rBh9ar7,2020-12-08-03-03,2020-12-08-03-20,17
s.993c7bd7-00af-4e7e-9d34-06591cdf31bd.txt,25,1,4,1,2,"","","",2021-01-07-08-08,"",""
s.9283301b-6c18-4d94-abfc-6a79e7bcaa8c.txt,33,2,3,3,1,"","","",2020-12-01-20-09,"",""
